YEAR,Month,Day,Surface Pressure,Wind Speed at 10 Meters,Precipitation Corrected,Specific Humidity at 2 Meters,Earth Skin Temperature
1982,3,10,89.96,7.6,0.0,3.36,7.93
1982,3,11,89.8,7.09,0.0,3.36,5.91
1982,3,12,89.04,8.16,0.01,2.99,5.08
1982,3,13,90.38,4.15,0.01,2.32,6.17
1982,3,14,89.92,6.19,0.21,4.46,4.5
1982,3,15,88.81,4.9,0.06,4.46,6.47
1982,3,16,89.42,6.2,0.0,3.97,8.91
1982,3,17,89.94,4.58,0.05,3.6,8.65
1982,3,18,90.3,6.77,1.33,4.09,6.36
1982,3,19,89.18,7.29,1.96,3.54,6.59
1982,3,20,90.0,9.7,0.0,1.89,0.33
1982,3,21,90.84,4.88,0.0,1.4,0.58
1982,3,22,90.59,3.25,0.0,1.95,4.37
1982,3,23,89.63,5.54,0.12,2.38,5.59
1982,3,24,90.01,4.49,1.15,3.05,3.26
1982,3,25,91.14,4.12,0.07,1.83,0.65
1982,3,26,90.52,7.69,0.0,2.44,4.19
1982,3,27,90.75,8.58,0.0,3.36,3.1
1982,3,28,90.1,8.28,1.19,4.15,6.96
1982,3,29,88.33,10.48,1.76,5.0,11.18
1982,3,30,89.03,11.78,0.4,1.89,8.94
1982,3,31,90.37,5.98,0.0,2.01,9.18
1982,4,1,89.3,5.3,0.04,3.36,13.81
1982,4,2,88.47,11.64,0.79,3.36,7.04
1982,4,3,89.95,5.77,0.03,2.32,7.16
1982,4,4,89.71,6.19,0.33,2.26,4.47
1982,4,5,90.53,5.98,0.13,2.38,2.19
1982,4,6,90.3,8.98,0.3,2.32,1.69
1982,4,7,89.47,5.93,0.24,3.11,4.06
1982,4,8,90.21,7.2,0.0,2.2,0.16
1982,4,9,90.28,4.82,0.0,2.08,5.15
1982,4,10,90.51,4.3,0.0,2.01,6.37
1982,4,11,89.57,5.09,0.0,3.85,14.26
1982,4,12,89.32,7.16,0.0,4.94,17.22
1982,4,13,90.09,3.87,0.0,4.52,15.83
1982,4,14,89.36,2.95,0.35,5.19,19.42
1982,4,15,89.13,5.09,1.85,3.85,18.99
1982,4,16,90.46,8.95,8.05,3.11,7.23
1982,4,17,90.95,4.66,0.0,2.2,9.26
1982,4,18,89.89,4.91,0.0,3.3,13.35
1982,4,19,90.52,11.05,0.0,1.77,6.34
1982,4,20,91.4,6.36,0.01,2.26,5.16
1982,4,21,91.56,4.68,0.01,1.89,6.27
1982,4,22,91.61,3.04,0.69,2.26,10.92
1982,4,23,90.54,7.25,0.09,3.23,13.19
1982,4,24,89.67,4.68,0.0,5.13,14.13
1982,4,25,90.05,6.23,0.02,4.94,14.13
1982,4,26,90.95,4.27,3.62,4.58,9.77
1982,4,27,90.94,5.15,11.8,4.88,5.55
1982,4,28,90.7,3.98,1.21,4.64,8.22
1982,4,29,90.57,4.94,0.02,4.7,9.37
1982,4,30,91.15,3.98,0.0,3.54,11.41
1982,5,1,90.86,5.97,0.0,5.55,14.65
1982,5,2,90.44,6.11,1.12,7.2,18.4
1982,5,3,89.84,6.31,0.77,8.0,21.33
1982,5,4,89.9,5.56,12.2,7.02,19.48
1982,5,5,90.63,6.29,13.26,4.21,5.02
1982,5,6,90.4,3.79,0.0,3.17,9.87
1982,5,7,89.99,3.02,0.0,3.6,13.25
1982,5,8,89.72,3.52,0.0,5.86,18.53
1982,5,9,89.24,6.44,0.0,5.62,20.94
1982,5,10,89.48,5.51,0.02,6.96,20.7
1982,5,11,90.01,6.98,2.98,6.77,11.74
1982,5,12,89.71,5.99,28.82,8.73,13.55
1982,5,13,89.57,5.31,18.58,9.28,13.96
1982,5,14,89.85,3.39,5.3,7.45,13.9
1982,5,15,90.03,5.55,0.89,6.9,13.62
1982,5,16,90.27,4.05,0.2,6.53,14.98
1982,5,17,90.31,3.2,0.04,7.14,15.61
1982,5,18,90.0,3.52,0.57,7.75,19.28
1982,5,19,89.62,6.37,5.13,11.17,21.44
1982,5,20,90.1,8.53,3.06,6.65,15.29
1982,5,21,90.5,6.53,0.0,6.41,14.01
1982,5,22,90.58,2.82,0.82,7.14,18.27
1982,5,23,90.28,5.81,12.58,10.5,15.95
1982,5,24,90.53,5.4,2.13,7.26,13.68
1982,5,25,90.1,1.99,1.33,6.16,13.57
1982,5,26,89.61,2.2,0.42,6.65,16.45
1982,5,27,89.58,5.82,1.66,7.69,19.87
1982,5,28,89.43,4.57,4.86,10.86,16.49
1982,5,29,89.92,4.19,4.58,7.57,18.06
1982,5,30,90.04,5.45,4.96,7.81,14.51
1982,5,31,90.69,5.05,0.01,4.27,13.99
1982,6,1,90.27,5.93,14.16,5.98,13.14
1982,6,2,90.28,5.88,7.12,7.08,10.02
1982,6,3,90.52,4.52,0.44,7.51,12.48
1982,6,4,90.26,6.48,0.12,7.81,17.05
1982,6,5,89.58,6.99,0.09,10.25,19.72
1982,6,6,89.8,6.77,0.0,5.68,19.99
1982,6,7,90.49,4.62,0.03,5.74,18.55
1982,6,8,89.83,5.33,0.88,8.24,21.74
1982,6,9,90.72,6.44,0.25,4.27,16.5
1982,6,10,90.75,4.91,4.56,5.62,17.55
1982,6,11,90.52,2.45,1.8,7.75,18.92
1982,6,12,90.58,1.49,7.64,8.67,19.25
1982,6,13,90.41,5.24,12.06,11.05,19.08
1982,6,14,89.69,5.34,10.39,12.57,20.62
1982,6,15,90.28,4.97,0.81,8.36,16.51
1982,6,16,90.29,3.1,3.47,8.0,19.3
1982,6,17,90.2,3.91,5.17,9.77,17.97
1982,6,18,90.58,4.04,0.38,8.12,17.2
1982,6,19,90.61,2.98,0.0,7.08,18.81
1982,6,20,90.38,2.49,0.21,7.39,21.4
1982,6,21,90.31,2.18,3.2,9.34,22.52
1982,6,22,90.5,3.69,7.32,11.11,21.58
1982,6,23,90.41,3.19,1.7,12.45,22.63
1982,6,24,90.6,3.98,0.58,11.78,19.78
1982,6,25,90.72,2.43,26.0,10.19,19.29
1982,6,26,90.51,2.75,5.96,11.05,16.94
1982,6,27,90.47,3.72,0.0,11.47,21.72
1982,6,28,90.15,3.91,7.55,11.66,22.93
1982,6,29,90.13,5.44,15.88,14.34,24.42
1982,6,30,90.27,4.77,5.81,16.78,22.66
1982,7,1,90.2,6.53,0.15,15.26,23.07
1982,7,2,90.04,3.51,0.03,12.39,24.31
1982,7,3,90.25,3.3,0.0,10.86,25.32
1982,7,4,89.67,7.62,0.01,13.12,27.16
1982,7,5,89.51,4.14,1.56,11.29,23.97
1982,7,6,90.11,5.78,0.99,8.61,19.76
1982,7,7,90.73,4.74,0.01,8.3,21.07
1982,7,8,90.25,4.41,2.8,12.76,24.71
1982,7,9,90.27,3.73,5.29,12.45,21.2
1982,7,10,90.57,4.39,0.85,8.79,20.76
1982,7,11,90.72,1.44,0.43,8.73,23.32
1982,7,12,90.71,2.35,11.18,11.23,23.94
1982,7,13,90.49,3.34,2.81,12.39,24.8
1982,7,14,90.08,4.47,1.17,14.1,25.5
1982,7,15,89.84,3.94,0.04,12.57,26.89
1982,7,16,89.68,2.69,0.81,11.54,27.7
1982,7,17,90.17,4.73,0.0,8.18,23.32
1982,7,18,90.11,3.15,0.0,11.6,27.87
1982,7,19,90.03,2.17,0.01,12.08,30.01
1982,7,20,90.17,3.69,0.0,10.01,30.67
1982,7,21,90.55,3.96,0.01,11.11,31.51
1982,7,22,90.73,5.87,0.0,14.77,30.2
1982,7,23,90.57,7.54,0.0,12.88,30.13
1982,7,24,90.46,5.83,0.0,10.74,31.63
1982,7,25,90.5,5.1,0.24,10.86,31.08
1982,7,26,90.74,3.77,1.95,13.43,29.18
1982,7,27,90.94,3.77,8.76,13.37,23.98
1982,7,28,91.0,2.55,17.78,13.85,21.75
1982,7,29,90.99,1.27,4.2,12.08,22.11
1982,7,30,90.94,1.85,0.01,9.4,23.33
1982,7,31,90.67,2.36,0.01,10.44,25.3
1982,8,1,90.28,4.15,0.0,9.77,27.43
1982,8,2,89.84,5.74,0.89,11.29,27.87
1982,8,3,89.9,3.55,1.45,15.01,26.89
1982,8,4,90.36,2.14,0.96,16.05,24.3
1982,8,5,90.88,4.15,0.12,13.67,26.15
1982,8,6,91.04,2.83,0.55,12.88,26.5
1982,8,7,91.04,2.77,0.24,11.6,27.3
1982,8,8,90.99,2.54,0.41,10.07,27.49
1982,8,9,90.62,4.58,1.12,10.38,24.58
1982,8,10,90.99,4.98,0.21,9.22,20.15
1982,8,11,90.76,6.61,0.19,10.56,21.58
1982,8,12,90.27,3.45,0.18,12.27,27.75
1982,8,13,90.45,4.4,20.4,14.89,23.44
1982,8,14,90.25,2.72,11.29,14.1,24.47
1982,8,15,90.55,3.3,0.0,13.79,26.2
1982,8,16,91.01,4.03,0.11,13.49,24.75
1982,8,17,91.1,4.59,0.09,12.15,23.94
1982,8,18,90.65,5.57,1.0,11.23,24.08
1982,8,19,90.68,2.77,6.67,13.73,26.79
1982,8,20,91.32,4.45,0.11,13.85,23.94
1982,8,21,91.04,3.96,0.22,13.37,24.7
1982,8,22,90.5,4.08,8.33,11.66,25.59
1982,8,23,90.38,3.95,1.36,11.41,23.43
1982,8,24,90.75,5.89,0.16,9.09,19.98
1982,8,25,90.63,5.65,0.0,8.12,20.91
1982,8,26,90.03,3.22,0.95,10.56,24.84
1982,8,27,90.84,4.98,1.21,10.31,19.33
1982,8,28,90.77,6.31,0.08,12.33,23.37
1982,8,29,90.36,5.07,0.34,12.27,26.51
1982,8,30,90.53,4.23,0.63,14.22,24.99
1982,8,31,90.37,1.97,0.16,13.12,27.51
1982,9,1,90.58,2.38,0.0,11.23,25.41
1982,9,2,91.04,3.39,0.0,6.77,23.6
1982,9,3,90.88,3.76,0.01,8.97,25.67
1982,9,4,90.34,3.67,0.29,10.31,26.71
1982,9,5,90.56,3.4,0.94,10.93,23.02
1982,9,6,91.14,2.65,0.16,10.68,21.98
1982,9,7,91.05,4.52,0.49,10.19,21.42
1982,9,8,90.62,4.0,0.06,10.25,22.78
1982,9,9,90.05,2.88,0.0,8.73,24.71
1982,9,10,89.58,5.12,0.13,8.42,26.83
1982,9,11,89.79,6.95,10.87,8.97,17.05
1982,9,12,90.03,3.8,5.87,7.2,13.88
1982,9,13,90.49,4.66,7.31,6.9,14.24
1982,9,14,91.06,3.88,3.36,6.65,10.76
1982,9,15,91.32,4.26,0.1,5.8,13.24
1982,9,16,90.53,4.39,0.85,9.52,17.67
1982,9,17,90.95,4.96,1.44,6.59,12.94
1982,9,18,90.83,3.7,0.01,7.32,15.19
1982,9,19,90.87,5.15,0.05,5.07,14.81
1982,9,20,91.27,2.91,0.0,4.15,12.52
1982,9,21,91.23,4.69,0.0,5.31,13.7
1982,9,22,90.44,4.47,0.6,7.63,18.48
1982,9,23,90.63,4.12,0.12,5.98,18.89
1982,9,24,91.05,4.06,0.0,5.55,16.19
1982,9,25,90.6,4.72,0.0,5.86,14.75
1982,9,26,89.67,3.38,0.0,8.73,20.42
1982,9,27,88.8,7.85,0.0,7.57,20.9
1982,9,28,88.94,4.83,0.01,5.98,17.56
1982,9,29,89.77,3.54,0.01,4.39,15.99
1982,9,30,90.51,7.03,11.08,6.29,9.44
1982,10,1,90.24,3.11,2.38,7.32,10.97
1982,10,2,90.37,4.45,0.01,4.88,12.2
1982,10,3,90.34,5.12,0.0,5.0,14.22
1982,10,4,90.08,4.62,0.0,6.1,14.65
1982,10,5,89.59,6.5,1.05,7.32,15.95
1982,10,6,90.41,6.34,0.8,3.97,9.4
1982,10,7,89.69,2.95,0.3,4.7,13.18
1982,10,8,89.13,7.49,7.15,7.08,10.24
1982,10,9,89.49,13.82,2.6,4.52,5.63
1982,10,10,90.64,9.47,0.02,3.97,7.05
1982,10,11,90.7,4.73,0.0,2.87,5.9
1982,10,12,90.84,4.34,0.0,3.72,7.07
1982,10,13,91.02,3.8,0.0,4.21,6.8
1982,10,14,90.69,4.47,0.0,5.31,11.01
1982,10,15,91.13,5.12,0.0,5.92,12.89
1982,10,16,90.76,5.39,0.01,5.98,12.34
1982,10,17,90.16,3.55,0.0,5.25,14.15
1982,10,18,90.07,5.79,0.18,5.43,13.01
1982,10,19,91.05,8.91,2.64,3.17,2.47
1982,10,20,91.22,3.16,0.0,2.62,2.95
1982,10,21,91.26,3.55,0.0,3.11,5.12
1982,10,22,91.05,3.67,0.0,4.03,9.31
1982,10,23,90.82,2.35,0.0,5.13,12.08
1982,10,24,90.79,3.41,0.0,5.62,13.12
1982,10,25,90.59,4.9,0.0,6.04,11.2
1982,10,26,90.07,4.22,0.0,5.43,12.06
1982,10,27,89.38,6.91,0.01,4.94,10.76
1982,10,28,90.08,8.09,0.0,3.05,6.31
1982,10,29,89.93,4.02,0.0,2.93,7.09
1982,10,30,89.96,3.09,0.01,4.33,9.61
1982,10,31,89.93,3.5,0.01,5.25,10.3
1982,11,1,90.18,3.86,0.06,5.43,8.37
1982,11,2,90.96,6.81,0.0,2.81,2.01
1982,11,3,91.3,4.86,0.0,1.77,-2.29
1982,11,4,91.15,3.73,0.0,1.46,-3.02
1982,11,5,90.57,3.2,0.0,2.14,-0.56
1982,11,6,90.04,3.95,0.0,2.99,4.48
1982,11,7,90.26,5.59,0.0,3.11,4.88
1982,11,8,90.7,3.89,0.27,2.99,1.02
1982,11,9,90.55,2.97,0.65,4.09,1.07
1982,11,10,90.44,3.25,0.72,4.09,3.47
1982,11,11,88.95,9.72,19.85,4.64,3.87
1982,11,12,91.19,7.59,0.0,1.59,-4.24
1982,11,13,90.27,5.62,0.0,2.38,-0.92
1982,11,14,91.48,5.9,0.0,1.65,-3.2
1982,11,15,90.38,4.29,0.0,2.14,-1.22
1982,11,16,90.28,3.01,0.0,2.32,-0.45
1982,11,17,89.88,2.95,0.0,2.69,0.48
1982,11,18,89.58,2.85,0.15,3.91,-0.26
1982,11,19,89.04,3.0,0.04,4.33,2.95
1982,11,20,90.06,4.14,0.0,3.23,2.15
1982,11,21,90.52,2.52,0.03,2.93,1.63
1982,11,22,90.71,5.53,2.02,2.38,-2.45
1982,11,23,91.36,5.06,0.16,1.59,-4.24
1982,11,24,91.24,5.22,0.0,1.89,-2.35
1982,11,25,90.67,3.85,0.0,2.44,-1.35
1982,11,26,91.48,2.98,0.0,2.44,-2.13
1982,11,27,90.64,3.84,0.05,2.44,-2.12
1982,11,28,89.27,3.39,0.01,3.05,-0.13
1982,11,29,89.28,4.12,0.0,3.54,1.2
1982,11,30,88.96,4.27,0.0,4.03,1.87
1982,12,1,87.99,6.41,0.11,4.03,2.01
1982,12,2,89.0,5.19,0.0,2.69,-0.5
1982,12,3,90.35,4.07,0.0,2.5,-0.38
1982,12,4,90.01,3.05,0.02,3.42,1.58
1982,12,5,90.24,6.3,1.33,2.81,1.08
1982,12,6,90.32,3.72,0.0,3.17,0.94
1982,12,7,91.68,6.76,0.0,1.59,-3.63
1982,12,8,92.45,3.08,0.0,1.53,-3.24
1982,12,9,91.08,5.12,0.0,2.38,-2.08
1982,12,10,91.05,4.77,0.0,1.89,-1.72
1982,12,11,91.32,2.52,0.0,1.71,-5.96
1982,12,12,90.35,3.6,0.0,2.38,-2.85
1982,12,13,89.13,4.01,0.01,2.99,-0.02
1982,12,14,89.97,5.84,0.01,2.87,-0.22
1982,12,15,90.72,2.63,0.0,2.38,-1.71
1982,12,16,90.79,3.21,0.0,3.05,-1.14
1982,12,17,89.92,4.95,0.0,3.48,2.1
1982,12,18,90.22,8.77,0.0,2.56,0.94
1982,12,19,90.49,5.13,0.0,2.38,-0.47
1982,12,20,90.37,4.02,0.0,2.62,0.03
1982,12,21,89.72,4.33,0.0,2.93,1.22
1982,12,22,89.38,4.47,0.0,3.48,1.63
1982,12,23,89.0,3.98,2.94,3.97,0.52
1982,12,24,89.15,11.58,11.83,2.75,-3.38
1982,12,25,91.01,7.37,1.13,1.83,-7.34
1982,12,26,90.81,4.04,0.12,1.89,-7.47
1982,12,27,90.12,8.59,5.11,2.5,-4.61
1982,12,28,90.76,8.12,0.01,1.28,-10.51
1982,12,29,90.73,4.41,0.0,1.4,-11.3
1982,12,30,90.58,3.34,0.0,1.53,-12.42
1982,12,31,90.68,4.95,0.0,2.01,-7.24
1983,1,1,90.97,3.98,0.0,2.26,-5.6
1983,1,2,91.39,4.12,0.0,2.32,-5.97
1983,1,3,90.46,4.8,0.0,2.38,-5.01
1983,1,4,90.57,3.83,0.0,2.56,-4.08
1983,1,5,90.27,5.36,0.0,3.72,-0.38
1983,1,6,90.34,6.84,0.0,3.48,1.52
1983,1,7,90.35,3.63,0.0,3.97,0.45
1983,1,8,89.95,4.3,0.02,3.78,1.19
1983,1,9,89.54,11.49,0.35,2.99,0.97
1983,1,10,89.98,6.75,0.0,2.5,-0.88
1983,1,11,91.17,5.59,0.0,2.62,-1.52
1983,1,12,90.89,6.24,0.0,2.93,1.43
1983,1,13,90.56,6.25,0.0,2.75,1.66
1983,1,14,91.79,6.52,0.0,1.83,-1.89
1983,1,15,91.19,3.78,0.0,1.71,-2.02
1983,1,16,90.72,3.71,0.0,2.2,-1.59
1983,1,17,90.61,5.43,0.03,2.08,-4.49
1983,1,18,90.58,7.75,0.73,1.95,-5.81
1983,1,19,90.14,5.72,0.1,2.56,-3.71
1983,1,20,90.24,5.66,0.0,2.93,-2.42
1983,1,21,90.43,3.35,0.0,2.75,-2.63
1983,1,22,90.05,2.34,0.04,2.87,-2.16
1983,1,23,89.87,4.41,0.99,3.36,0.2
1983,1,24,90.49,4.06,0.62,3.36,0.18
1983,1,25,90.26,5.05,0.22,2.56,-1.85
1983,1,26,90.75,3.1,0.0,2.08,-3.73
1983,1,27,89.69,5.98,0.0,3.17,-0.52
1983,1,28,89.01,4.2,0.29,3.91,1.73
1983,1,29,90.06,5.91,0.2,3.05,0.65
1983,1,30,90.1,4.95,0.48,3.05,-0.67
1983,1,31,90.53,2.95,0.19,2.87,-1.28
1983,2,1,90.0,5.09,0.09,2.69,-1.8
1983,2,2,89.95,10.12,0.0,1.59,-5.17
1983,2,3,90.43,5.06,0.0,1.34,-7.38
1983,2,4,90.28,4.81,0.06,2.08,-4.27
1983,2,5,90.07,4.3,0.04,2.14,-4.75
1983,2,6,90.25,2.77,0.0,1.59,-6.13
1983,2,7,89.67,4.99,0.0,2.2,-1.45
1983,2,8,89.83,3.71,0.0,2.87,0.69
1983,2,9,89.75,3.85,0.0,3.17,0.74
1983,2,10,89.84,5.23,0.03,3.3,1.71
1983,2,11,90.8,3.12,0.0,2.99,0.9
1983,2,12,90.65,4.41,0.0,2.81,2.47
1983,2,13,89.9,3.92,0.02,3.48,5.58
1983,2,14,90.01,6.0,0.32,4.46,4.0
1983,2,15,90.46,4.81,0.21,3.23,2.94
1983,2,16,90.22,3.47,0.01,2.81,1.86
1983,2,17,90.48,2.04,0.75,3.6,1.7
1983,2,18,89.59,4.88,0.0,3.54,6.49
1983,2,19,88.94,5.57,0.37,4.15,6.69
1983,2,20,90.92,7.48,0.75,2.99,-0.74
1983,2,21,90.89,2.08,0.09,3.97,3.41
1983,2,22,90.63,3.72,0.02,3.91,5.18
1983,2,23,90.09,5.57,0.0,3.78,5.58
1983,2,24,90.53,4.57,0.0,3.11,2.25
1983,2,25,90.14,7.14,0.16,3.17,0.4
1983,2,26,89.64,4.47,0.27,4.09,3.56
1983,2,27,89.82,3.41,0.04,4.09,5.55
1983,2,28,89.82,3.38,0.57,4.58,5.04
1983,3,1,89.87,4.76,0.0,3.66,7.95
1983,3,2,89.54,3.59,0.0,4.33,10.44
1983,3,3,88.83,4.09,0.06,5.92,11.47
1983,3,4,88.38,4.36,19.76,7.81,10.57
1983,3,5,88.28,5.61,18.47,5.92,5.76
1983,3,6,89.07,8.99,0.28,3.78,4.03
1983,3,7,89.6,9.41,0.02,2.75,2.96
1983,3,8,90.43,7.66,0.0,2.62,0.87
1983,3,9,90.94,4.73,0.0,2.56,1.26
1983,3,10,90.86,2.36,0.0,2.5,3.08
1983,3,11,90.46,6.12,0.0,2.99,5.87
1983,3,12,89.75,3.59,0.0,3.66,6.13
1983,3,13,89.78,5.11,0.0,3.78,9.5
1983,3,14,89.12,5.43,0.1,5.49,9.76
1983,3,15,89.62,8.97,6.04,3.78,2.88
1983,3,16,90.53,6.92,6.53,3.05,-1.13
1983,3,17,90.32,4.2,0.3,2.81,-1.35
1983,3,18,89.9,4.47,2.76,2.62,-1.38
1983,3,19,90.08,5.45,1.39,2.44,-2.88
1983,3,20,90.37,5.63,0.06,1.77,-4.44
1983,3,21,90.31,2.58,0.05,1.89,-3.03
1983,3,22,90.29,6.23,0.1,2.44,-1.54
1983,3,23,90.23,6.95,0.03,3.11,0.5
1983,3,24,89.73,7.89,1.22,3.78,2.51
1983,3,25,88.77,6.73,9.72,4.64,2.98
1983,3,26,89.38,10.23,1.87,3.42,0.3
1983,3,27,90.39,7.05,0.07,2.93,0.54
1983,3,28,90.24,6.84,0.08,3.48,3.44
1983,3,29,90.47,2.21,0.0,3.48,6.48
1983,3,30,89.92,6.24,0.28,3.97,8.34
1983,3,31,89.44,4.71,0.75,4.7,9.07
1983,4,1,90.14,11.48,0.0,2.62,3.26
1983,4,2,90.06,5.48,0.15,2.2,3.79
1983,4,3,89.67,5.83,6.97,2.81,-1.63
1983,4,4,90.51,5.63,2.33,2.87,-1.45
1983,4,5,90.79,5.62,1.51,2.87,-1.97
1983,4,6,90.78,4.09,0.0,2.56,-1.85
1983,4,7,90.58,2.19,0.0,2.5,2.01
1983,4,8,90.28,4.23,0.2,3.11,3.41
1983,4,9,90.05,3.77,0.04,3.11,3.34
1983,4,10,90.06,3.09,0.01,3.3,9.35
1983,4,11,89.29,7.04,6.6,4.82,8.9
1983,4,12,88.96,7.77,13.33,4.21,2.75
1983,4,13,89.79,10.8,0.89,2.56,-1.7
1983,4,14,90.45,7.74,0.0,1.95,0.62
1983,4,15,90.71,5.62,0.0,2.75,3.65
1983,4,16,90.7,3.52,0.0,3.11,7.39
1983,4,17,90.17,6.83,0.0,3.66,8.79
1983,4,18,89.79,4.98,0.01,5.0,11.69
1983,4,19,89.56,5.95,0.88,4.88,10.37
1983,4,20,89.63,2.77,0.08,5.92,15.4
1983,4,21,89.63,5.73,1.05,6.9,11.33
1983,4,22,90.13,4.84,0.48,6.77,11.96
1983,4,23,90.85,4.41,0.0,4.15,11.73
1983,4,24,90.38,5.94,0.0,3.72,12.05
1983,4,25,88.83,4.53,0.15,5.68,16.7
1983,4,26,89.63,6.06,0.04,4.52,13.65
1983,4,27,90.03,4.92,4.39,5.37,10.15
1983,4,28,90.09,3.33,2.31,5.68,11.51
1983,4,29,90.03,4.49,9.03,5.92,8.06
1983,4,30,89.64,7.19,21.71,6.65,8.71
1983,5,1,89.11,9.9,13.99,5.43,6.94
1983,5,2,90.12,5.18,0.85,4.58,5.73
1983,5,3,90.36,4.89,0.1,5.07,11.01
1983,5,4,90.23,2.93,0.05,6.16,12.78
1983,5,5,89.42,4.62,4.26,6.47,15.62
1983,5,6,88.95,4.41,1.9,7.57,12.19
1983,5,7,90.68,5.7,0.02,5.19,12.7
1983,5,8,90.54,8.54,0.0,5.0,13.58
1983,5,9,89.39,10.79,0.91,6.41,17.98
1983,5,10,89.69,3.29,6.51,8.79,18.91
1983,5,11,89.63,9.49,6.01,10.56,17.83
1983,5,12,90.0,5.23,0.11,4.58,13.49
1983,5,13,90.55,4.48,2.45,4.33,8.45
1983,5,14,90.77,4.94,1.43,3.42,8.81
1983,5,15,90.59,3.7,0.67,3.66,7.45
1983,5,16,90.2,7.38,10.14,4.46,8.5
1983,5,17,89.73,9.66,20.29,5.98,5.96
1983,5,18,89.91,6.66,1.17,5.62,7.94
1983,5,19,90.29,2.34,1.01,5.92,11.82
1983,5,20,90.64,3.27,0.59,5.43,9.92
1983,5,21,89.92,3.51,0.04,6.35,16.31
1983,5,22,90.4,5.48,0.9,5.68,15.19
1983,5,23,90.56,2.75,0.0,5.92,16.89
