Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1988,1988,100 g/ha,26356.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1988,1988,t,446900.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1989,1989,ha,166330.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1989,1989,100 g/ha,22317.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1989,1989,t,371200.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1990,1990,ha,166330.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1990,1990,100 g/ha,30049.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1990,1990,t,499800.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1991,1991,ha,163900.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1991,1991,100 g/ha,22648.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1991,1991,t,371200.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1992,1992,ha,162280.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1992,1992,100 g/ha,25401.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1992,1992,t,412200.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1993,1993,ha,167130.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1993,1993,100 g/ha,21767.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1993,1993,t,363800.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1994,1994,ha,175230.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1994,1994,100 g/ha,30246.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1994,1994,t,530000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1995,1995,ha,169160.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1995,1995,100 g/ha,16316.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1995,1995,t,276000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1996,1996,ha,173200.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1996,1996,100 g/ha,22258.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1996,1996,t,385500.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1997,1997,ha,181220.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1997,1997,100 g/ha,30295.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1997,1997,t,549000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1998,1998,ha,188600.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1998,1998,100 g/ha,20838.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1998,1998,t,393000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1999,1999,ha,196800.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1999,1999,100 g/ha,32063.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1999,1999,t,631000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2000,2000,ha,202340.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2000,2000,100 g/ha,26342.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2000,2000,t,533000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2001,2001,ha,214483.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2001,2001,100 g/ha,28402.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2001,2001,t,609178.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2002,2002,ha,220554.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2002,2002,100 g/ha,36275.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2002,2002,t,800051.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2003,2003,ha,222577.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2003,2003,100 g/ha,35325.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2003,2003,t,786262.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2004,2004,ha,230671.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2004,2004,100 g/ha,34074.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2004,2004,t,785985.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2005,2005,ha,234718.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2005,2005,100 g/ha,29969.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2005,2005,t,703431.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2006,2006,ha,234718.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2006,2006,100 g/ha,36049.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2006,2006,t,846131.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2007,2007,ha,259002.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2007,2007,100 g/ha,46830.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2007,2007,t,1212900.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2008,2008,ha,275189.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2008,2008,100 g/ha,51238.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2008,2008,t,1410000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2009,2009,ha,291374.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2009,2009,100 g/ha,39887.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2009,2009,t,1162200.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2010,2010,ha,311608.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2010,2010,100 g/ha,45371.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2010,2010,t,1413800.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2011,2011,ha,323749.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2011,2011,100 g/ha,56883.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2011,2011,t,1841587.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2012,2012,ha,331854.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2012,2012,100 g/ha,49871.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2012,2012,t,1655000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2013,2013,ha,343983.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2013,2013,100 g/ha,50375.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2013,2013,t,1732800.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2014,2014,ha,352077.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2014,2014,100 g/ha,43897.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2014,2014,t,1545500.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2015,2015,ha,372311.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2015,2015,100 g/ha,38580.0,E,Estimated value
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2015,2015,t,1436383.0,X,Figure from international organizations
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2016,2016,ha,392550.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2016,2016,100 g/ha,41213.0,E,Estimated value
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2016,2016,t,1617816.0,X,Figure from international organizations
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2017,2017,ha,416830.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2017,2017,100 g/ha,41188.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2017,2017,t,1716850.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2018,2018,ha,441110.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2018,2018,100 g/ha,39024.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2018,2018,t,1721380.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2019,2019,ha,477530.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2019,2019,100 g/ha,40064.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2019,2019,t,1913160.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2020,2020,ha,505863.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2020,2020,100 g/ha,46358.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2020,2020,t,2345070.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2021,2021,ha,534191.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2021,2021,100 g/ha,41194.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2021,2021,t,2200560.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",2022,2022,ha,546332.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",2022,2022,100 g/ha,34009.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",2022,2022,t,1858010.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1980,1980,ha,166810.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1980,1980,100 g/ha,239794.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1980,1980,t,4000000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1981,1981,ha,167900.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1981,1981,100 g/ha,209090.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1981,1981,t,3510620.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1982,1982,ha,169280.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1982,1982,100 g/ha,217631.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1982,1982,t,3684060.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1983,1983,ha,171790.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1983,1983,100 g/ha,221224.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1983,1983,t,3800400.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1984,1984,ha,171140.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1984,1984,100 g/ha,220621.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1984,1984,t,3775700.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1985,1985,ha,174300.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1985,1985,100 g/ha,205967.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1985,1985,t,3590000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1986,1986,ha,179030.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1986,1986,100 g/ha,199117.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1986,1986,t,3564800.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1987,1987,ha,183040.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1987,1987,100 g/ha,266204.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1987,1987,t,4872600.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1988,1988,ha,187605.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1988,1988,100 g/ha,220676.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1988,1988,t,4140000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1989,1989,ha,194600.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1989,1989,100 g/ha,232220.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1989,1989,t,4519000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1990,1990,ha,191600.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1990,1990,100 g/ha,228601.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1990,1990,t,4380000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1991,1991,ha,181785.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1991,1991,100 g/ha,242203.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1991,1991,t,4402885.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1992,1992,ha,184152.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1992,1992,100 g/ha,260317.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1992,1992,t,4793791.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1993,1993,ha,185933.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1993,1993,100 g/ha,260668.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1993,1993,t,4846680.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1994,1994,ha,187208.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1994,1994,100 g/ha,278659.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1994,1994,t,5216721.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1995,1995,ha,187208.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1995,1995,100 g/ha,256308.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1995,1995,t,4798282.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1996,1996,ha,189211.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1996,1996,100 g/ha,248884.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1996,1996,t,4709151.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1997,1997,ha,189373.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1997,1997,100 g/ha,247279.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1997,1997,t,4682797.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1998,1998,ha,188685.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1998,1998,100 g/ha,279976.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1998,1998,t,5282718.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,1999,1999,ha,183809.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,1999,1999,100 g/ha,262360.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,1999,1999,t,4822413.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,2000,2000,ha,175492.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,2000,2000,100 g/ha,273483.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,2000,2000,t,4799416.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,2001,2001,ha,165638.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,2001,2001,100 g/ha,258045.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,2001,2001,t,4274201.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,2002,2002,ha,159770.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,2002,2002,100 g/ha,241996.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,2002,2002,t,3866376.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,2003,2003,ha,157281.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,2003,2003,100 g/ha,253215.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,2003,2003,t,3982586.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,2004,2004,ha,154533.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,2004,2004,100 g/ha,305621.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,2004,2004,t,4722849.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,2005,2005,ha,149354.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,2005,2005,100 g/ha,293587.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,2005,2005,t,4384832.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,2006,2006,ha,145683.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,2006,2006,100 g/ha,305857.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,2006,2006,t,4455819.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,2007,2007,ha,142000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,2007,2007,100 g/ha,290344.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,2007,2007,t,4122883.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,2008,2008,ha,141151.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,2008,2008,100 g/ha,309247.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,2008,2008,t,4365055.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,2009,2009,ha,139576.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,2009,2009,100 g/ha,314830.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,2009,2009,t,4394267.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,2010,2010,ha,136217.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341.0,Apples,2010,2010,100 g/ha,309087.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1341.0,Apples,2010,2010,t,4210290.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341.0,Apples,2011,2011,ha,133870.0,A,Official figure
